Tokenized_Tweet,Corrected_Token
"['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu']","['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'di', 'rumah', 'saja', 'hingga', 'hari', 'minggu']"
"['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang']","['aku', 'mohon', 'ya', 'allah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadan', 'datang']"
"['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm']","['pemerintah', 'provinsi', 'papua', 'naikan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'organisasi', 'papua', 'merdeka']"
"['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax']","['covid', 'belum', 'sampai', 'prigen', 'mbak', 'hem', 'hoaks']"
"['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir']","['menyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'wkwk', 'pikir']"
"['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']","['pikir', 'balik', 'byk', 'mnde', 'pendidikan', 'layanan', 'khusus', 'natural', 'killer', 'setelkn', 'lepas', 'covid']"
"['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin']","['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'amin']"
"['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat']","['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'warga', 'negara', 'asing', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat']"
"['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranjikamis', 'febriputraguci']","['cegah', 'covid', 'beserta', 'jajaran', 'kepolisian', 'sektor', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'kepolisian', 'sektor', 'kuranjikamis', 'febriputraguci']"
"['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah']","['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'ke', 'ranah', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'amin', 'amin', 'ya', 'rabi', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah']"
"['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama']","['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama']"
"['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam']","['bencana', 'nasional', 'covid', 'dewan', 'perwakilan', 'rakyat', 'daerah', 'indramayu', 'meminta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam']"
"['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm']","['cegah', 'covid', 'pemerintah', 'provinsi', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'organisasi', 'papua', 'merdeka']"
