Processed_Tweet,Tokenized_Tweet
cegah mata rantai covidmari kita dirumah saja hingga hari minggu,"['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu']"
aku mohon yaallah semoga wabah covid menghilang sebelum ramadhan datang,"['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang']"
pemprov papua naikkan status jadi tanggap darurat covid opm,"['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm']"
covid belum nyampe prigen mbak hmm hoax,"['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax']"
nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid lol mikir,"['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir']"
pikir balik byk mnde plk nk setelkn lepas covid,"['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']"
selamat pagi hari jumat jumat keempat di kala pandemi covid semoga kita semua dikasih kesehatan aamiin,"['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin']"
hikmah di balik musibah covid smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas melukai kepentingan rakyat,"['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat']"
cegah covid beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranjikamis febriputraguci,"['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranjikamis', 'febriputraguci']"
ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayangya allah lindungilah kami dari penyakit berjangkit covid aamiin aamiin ya rabbal alaminstay at home jangan keluar rumah,"['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah']"
